point_id,latitude,longitude,Code,ratio_cs_sr,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled,cs137_kBq_m2,sr90_kBq_m2,k40_Bq_kg,ra226_Bq_kg,th232_Bq_kg,scenario_name
294,50.93321,29.63793,1641,4.68,4.0,5.0,16.0,18.0,56.0,55.0,131.0,129.0,65.0,66.0,135.0,6.6,6.52,19.2,4.09,65.0,12.0,8.0,baseline
295,50.93013,29.96157,1647,2.78,5.0,5.0,19.0,21.0,50.0,49.0,126.0,124.0,66.0,66.0,117.0,14.9,5.23,38.6,13.9,60.0,6.0,5.0,baseline
296,50.92674,29.89579,1663,4.55,4.0,4.0,19.0,21.0,46.0,46.0,128.0,127.0,66.0,66.0,139.0,10.0,5.78,16.1,3.53,223.0,14.0,13.0,baseline
297,50.92687,29.49577,1698,15.6,5.0,5.0,19.0,20.0,60.0,60.0,132.0,130.0,65.0,65.0,161.0,7.3,6.9,18.1,1.16,239.0,18.0,18.0,baseline
298,50.92461,29.51027,1705,8.48,5.0,5.0,17.0,19.0,58.0,58.0,135.0,133.0,65.0,65.0,163.0,4.6,7.17,25.0,2.95,113.0,9.0,8.0,baseline
299,50.92474,29.523996,1708,18.6,5.0,5.0,18.0,19.0,64.0,63.0,136.0,134.0,63.0,63.0,155.0,15.4,6.22,27.7,1.48,171.0,12.0,9.0,baseline
300,50.92395,29.65255,1711,6.5,5.0,5.0,17.0,19.0,56.0,56.0,134.0,132.0,65.0,65.0,135.0,14.2,5.55,23.3,3.58,80.0,11.0,6.0,baseline
301,50.9239,29.70967,1715,11.4,4.0,4.0,14.0,16.0,68.0,68.0,136.0,135.0,59.0,59.0,145.0,26.9,4.79,23.5,2.06,120.0,13.0,8.0,baseline
302,50.924011,29.723902,1718,5.74,4.0,4.0,14.0,16.0,68.0,68.0,137.0,137.0,59.0,59.0,146.0,9.5,5.86,14.9,2.59,131.0,12.0,9.0,baseline
303,50.92377,29.85221,1723,3.74,5.0,5.0,19.0,21.0,49.0,49.0,128.0,127.0,67.0,67.0,143.0,3.6,6.74,17.7,4.74,240.0,22.0,19.0,baseline
304,50.921013,29.571594,1735,1.95,4.0,4.0,16.0,18.0,66.0,66.0,135.0,135.0,61.0,61.0,156.0,7.9,5.88,15.6,8.02,159.0,12.0,11.0,baseline
305,50.921013,29.538276,1737,11.1,4.0,4.0,17.0,18.0,70.0,70.0,131.0,131.0,62.0,62.0,155.0,10.5,5.62,15.4,1.38,159.0,13.0,11.0,baseline
306,50.91805,29.63337,1753,9.27,4.0,4.0,14.0,16.0,63.0,63.0,136.0,136.0,64.0,64.0,139.0,8.9,6.66,8.17,0.882,91.0,9.0,5.0,baseline
307,50.91794,29.66702,1757,6.95,4.0,4.0,19.0,20.0,60.0,60.0,134.0,133.0,63.0,63.0,130.0,4.0,6.96,14.0,2.01,60.0,13.0,11.0,baseline
308,50.91771,29.83874,1769,7.14,2.0,3.0,16.0,18.0,61.0,60.0,133.0,132.0,64.0,64.0,145.0,4.8,6.79,25.6,3.58,230.0,12.0,13.0,baseline
309,50.91783,29.8523,1772,3.35,3.0,3.0,18.0,19.0,59.0,58.0,133.0,132.0,64.0,64.0,140.0,9.9,5.26,8.57,2.56,130.0,18.0,10.0,baseline
310,50.918015,29.952364,1782,3.33,8.0,10.0,17.0,19.0,41.0,41.0,131.0,131.0,69.0,69.0,115.0,5.7,6.55,46.0,13.8,545.0,6.0,4.5,baseline
311,50.91496,29.96711,1793,3.33,5.0,4.0,17.0,19.0,59.0,59.0,134.0,132.0,65.0,65.0,116.0,2.4,6.81,56.1,16.9,53.0,5.5,5.3,baseline
312,50.91552,29.93895,1799,6.64,5.0,4.0,17.0,19.0,51.0,51.0,133.0,131.0,66.0,66.0,116.0,2.0,7.65,51.3,7.74,53.0,6.0,5.0,baseline
313,50.915,29.84282,1803,9.81,3.0,3.0,17.0,19.0,56.0,56.0,138.0,139.0,64.0,64.0,136.0,33.1,4.26,24.7,2.52,160.0,14.0,10.0,baseline
314,50.91491,29.64777,1807,16.4,5.0,5.0,15.0,17.0,57.0,57.0,130.0,130.0,67.0,67.0,146.0,10.1,5.23,18.5,1.13,120.0,8.0,7.0,baseline
315,50.91179,29.6682,1811,13.0,4.0,4.0,17.0,19.0,53.0,53.0,136.0,134.0,63.0,63.0,130.0,9.2,6.07,16.9,1.3,80.0,7.0,6.0,baseline
316,50.908769,30.064622,1824,5.95,7.0,7.0,12.0,13.0,72.0,73.0,125.0,131.0,55.0,55.0,142.0,45.0,3.68,58.6,9.85,68.0,13.0,7.0,baseline
317,50.908879,30.037079,1826,6.3,4.0,5.0,14.0,15.0,74.0,74.0,120.0,126.0,56.0,56.0,140.0,7.9,5.92,78.5,12.5,42.0,7.0,4.0,baseline
318,50.909004,29.99518,1829,3.94,4.0,4.0,15.0,16.0,63.0,63.0,119.0,121.0,65.0,65.0,122.0,6.4,5.92,32.5,8.25,35.0,8.0,8.0,baseline
319,50.908862,29.950215,1833,3.0,5.0,6.0,16.0,17.0,59.0,60.0,134.0,133.0,64.0,64.0,116.0,3.7,6.83,30.4,10.2,72.0,10.0,10.0,baseline
320,50.91015,29.90946,1836,4.79,5.0,5.0,20.0,21.0,48.0,48.0,127.0,127.0,68.0,68.0,118.0,7.8,6.12,12.0,2.5,108.0,8.0,10.0,baseline
321,50.910072,29.86494,1839,6.2,5.0,5.0,21.0,23.0,42.0,42.0,129.0,130.0,67.0,67.0,112.0,2.1,7.01,24.7,3.98,85.0,14.0,9.0,baseline
322,50.909023,29.838133,1842,2.82,3.0,4.0,17.0,18.0,59.0,58.0,134.0,135.0,62.0,62.0,136.0,15.6,5.27,15.9,5.65,200.0,21.0,35.0,baseline
323,50.909004,29.823855,1843,7.96,4.0,4.0,11.0,13.0,73.0,73.0,129.0,133.0,61.0,61.0,153.0,11.2,5.44,18.4,2.31,84.0,11.0,6.0,baseline
324,50.9085,29.780774,1846,8.14,8.0,10.0,13.0,14.0,72.0,71.0,116.0,120.0,55.0,55.0,162.0,19.0,5.16,16.9,2.07,40.0,6.0,4.0,baseline
325,50.908987,29.736924,1849,12.4,10.0,9.0,12.0,14.0,74.0,73.0,115.0,121.0,55.0,55.0,176.0,17.8,4.72,19.6,1.58,36.0,8.0,7.0,baseline
