Code,latitude,longitude,target_dose_rate,target_dose_rate_0_1m,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled
118,51.11535,30.27978,0.09,0.09,5.0,5.0,12.0,13.0,62.0,63.0,130.0,132.0,59.0,59.0,121.0,12.2,4.97
119,51.11654,30.28486,0.09,0.09,5.0,5.0,15.0,16.0,59.0,58.0,124.0,127.0,59.0,59.0,120.0,3.7,6.75
120,51.11583,30.29546,0.1,0.11,5.0,5.0,12.0,13.0,63.0,62.0,117.0,120.0,60.0,60.0,120.0,3.9,6.77
121,51.11642,30.30774,0.09,0.09,7.0,7.0,13.0,14.0,58.0,58.0,126.0,129.0,64.0,64.0,115.0,1.8,7.68
122,51.11334,30.29089,0.09,0.09,4.0,4.0,14.0,15.0,64.0,64.0,129.0,129.0,61.0,61.0,118.0,3.8,6.51
123,51.11333,30.28531,0.08,0.09,5.0,5.0,14.0,15.0,62.0,62.0,127.0,126.0,62.0,62.0,118.0,9.4,6.13
124,51.11301,30.28076,0.08,0.09,3.0,4.0,16.0,17.0,62.0,62.0,136.0,137.0,60.0,60.0,119.0,3.2,7.3
125,51.11274,30.27656,0.08,0.09,4.0,4.0,14.0,15.0,60.0,60.0,132.0,133.0,59.0,59.0,120.0,1.8,7.93
126,51.11257,30.15238,0.1,0.11,5.0,4.0,15.0,16.0,61.0,61.0,117.0,122.0,58.0,58.0,126.0,7.9,5.88
127,51.11399,30.14742,0.11,0.11,5.0,5.0,15.0,16.0,62.0,61.0,122.0,121.0,56.0,56.0,129.0,10.0,5.49
128,51.11214,30.14361,0.11,0.12,4.0,5.0,16.0,17.0,59.0,60.0,130.0,128.0,59.0,59.0,123.0,22.1,4.94
129,51.112858,30.137991,0.13,0.14,4.0,4.0,15.0,16.0,61.0,61.0,131.0,129.0,58.0,58.0,129.0,23.5,4.73
130,51.11241,30.13295,0.11,0.11,3.0,3.0,15.0,17.0,60.0,61.0,133.0,131.0,59.0,59.0,125.0,7.3,6.19
131,51.11288,30.01851,0.14,0.16,4.0,4.0,15.0,16.0,66.0,67.0,135.0,134.0,62.0,62.0,124.0,24.4,4.7
132,51.112858,29.88097,0.11,0.11,5.0,5.0,15.0,16.0,60.0,60.0,129.0,129.0,63.0,63.0,127.0,6.5,5.83
133,51.112858,29.86669,0.1,0.11,4.0,5.0,15.0,17.0,55.0,56.0,136.0,135.0,64.0,64.0,125.0,4.3,6.13
134,51.112858,29.742941,0.1,0.1,3.0,4.0,13.0,15.0,69.0,69.0,132.0,134.0,61.0,61.0,130.0,4.6,6.35
135,51.112858,29.738181,0.1,0.1,4.0,4.0,13.0,15.0,72.0,72.0,126.0,128.0,60.0,60.0,134.0,18.5,4.73
136,51.112858,29.733421,0.09,0.09,4.0,4.0,15.0,17.0,71.0,71.0,135.0,136.0,61.0,61.0,132.0,10.3,6.05
137,51.11255,29.72871,0.09,0.1,5.0,5.0,15.0,17.0,67.0,67.0,129.0,129.0,62.0,62.0,134.0,16.0,5.4
138,51.109862,29.728661,0.11,0.11,4.0,5.0,15.0,17.0,68.0,68.0,132.0,132.0,61.0,61.0,135.0,4.3,6.33
139,51.109862,29.733421,0.1,0.11,4.0,4.0,15.0,17.0,71.0,70.0,134.0,136.0,60.0,60.0,134.0,10.6,5.65
140,51.109862,29.738181,0.1,0.1,3.0,4.0,13.0,15.0,73.0,73.0,132.0,134.0,60.0,60.0,133.0,18.4,5.31
141,51.10995,29.74291,0.1,0.11,5.0,5.0,12.0,14.0,73.0,73.0,131.0,133.0,60.0,60.0,138.0,8.4,6.33
142,51.109862,29.861932,0.1,0.11,4.0,4.0,15.0,16.0,56.0,56.0,134.0,132.0,63.0,63.0,128.0,6.4,6.1
143,51.10995,29.97644,0.13,0.15,6.0,5.0,17.0,19.0,54.0,54.0,131.0,131.0,66.0,66.0,124.0,13.1,5.12
144,51.11037,29.97977,0.13,0.13,5.0,5.0,17.0,19.0,55.0,55.0,132.0,131.0,65.0,64.0,124.0,6.0,6.01
145,51.10988,30.01932,0.13,0.14,4.0,4.0,11.0,13.0,66.0,66.0,125.0,126.0,59.0,59.0,136.0,15.9,5.69
146,51.10919,30.14231,0.12,0.12,4.0,4.0,15.0,16.0,59.0,59.0,133.0,131.0,60.0,60.0,123.0,3.5,6.55
147,51.11028,30.14709,0.11,0.12,3.0,3.0,14.0,15.0,59.0,59.0,132.0,131.0,61.0,61.0,124.0,10.9,5.51
148,51.10953,30.15272,0.1,0.13,4.0,4.0,14.0,15.0,60.0,59.0,134.0,133.0,58.0,58.0,122.0,11.8,5.13
149,51.11006,30.15615,0.1,0.1,3.0,3.0,14.0,15.0,62.0,62.0,128.0,129.0,60.0,61.0,122.0,8.1,6.22
150,51.1098,30.16252,0.09,0.11,5.0,4.0,14.0,15.0,60.0,61.0,131.0,130.0,60.0,60.0,123.0,8.8,5.35
151,51.10971,30.27507,0.11,0.11,5.0,5.0,15.0,16.0,62.0,62.0,132.0,130.0,62.0,62.0,120.0,3.4,6.45
152,51.10974,30.28132,0.1,0.11,4.0,4.0,14.0,15.0,61.0,61.0,134.0,133.0,60.0,60.0,122.0,6.4,5.81
153,51.10977,30.28535,0.1,0.1,4.0,4.0,15.0,16.0,59.0,59.0,132.0,131.0,61.0,61.0,119.0,2.8,6.87
154,51.11007,30.29075,0.09,0.09,4.0,4.0,14.0,15.0,58.0,58.0,134.0,135.0,61.0,61.0,119.0,1.0,7.7
155,51.10672,30.30873,0.09,0.09,5.0,5.0,14.0,15.0,57.0,57.0,115.0,120.0,62.0,62.0,115.0,4.4,6.95
156,51.107,30.29606,0.1,0.1,4.0,4.0,16.0,16.0,59.0,59.0,137.0,138.0,62.0,62.0,118.0,2.2,8.16
157,51.10694,30.28127,0.1,0.1,5.0,4.0,15.0,16.0,55.0,55.0,130.0,130.0,62.0,62.0,119.0,2.8,7.2
158,51.10643,30.2664,0.11,0.11,4.0,4.0,14.0,15.0,59.0,59.0,133.0,134.0,60.0,60.0,120.0,5.9,6.06
159,51.10683,30.25109,0.1,0.11,4.0,4.0,15.0,16.0,55.0,54.0,134.0,132.0,62.0,62.0,119.0,4.6,6.45
160,51.10688,30.23808,0.1,0.12,6.0,6.0,17.0,18.0,56.0,56.0,103.0,103.0,69.0,69.0,119.0,0.6,9.03
161,51.10669,30.22462,0.1,0.1,5.0,5.0,16.0,17.0,55.0,54.0,138.0,137.0,68.0,68.0,119.0,7.8,5.56
162,51.1069,30.21022,0.09,0.1,4.0,4.0,16.0,17.0,60.0,59.0,138.0,136.0,59.0,59.0,120.0,4.8,6.79
163,51.106864,30.195106,0.12,0.12,6.0,6.0,11.0,12.0,68.0,68.0,120.0,125.0,51.0,52.0,145.0,45.0,3.66
164,51.106864,30.180827,0.11,0.12,6.0,6.0,13.0,14.0,73.0,74.0,132.0,133.0,56.0,56.0,121.0,8.4,5.84
165,51.10703,30.17192,0.1,0.1,5.0,4.0,14.0,15.0,66.0,66.0,132.0,133.0,56.0,56.0,124.0,10.6,5.77
166,51.10735,30.16653,0.1,0.1,5.0,4.0,14.0,15.0,62.0,62.0,135.0,133.0,62.0,62.0,122.0,7.7,5.68
167,51.106864,30.161788,0.1,0.12,3.0,4.0,14.0,15.0,60.0,60.0,132.0,130.0,64.0,64.0,120.0,8.7,6.54
