spatial_group,n_rows,lat_min,lat_max,lon_min,lon_max
2_6,8,50.780127,50.79583,29.509718,29.51868
2_8,8,50.783125,50.792457,29.53944,29.552555
5_16,8,50.837374,50.85513,29.70487,29.714382
5_29,8,50.84433,50.85519,29.96151,29.97649
5_35,8,50.83739,50.855044,30.07978,30.096252
5_8,8,50.837374,50.855044,29.543035,29.552555
6_23,8,50.861062,50.87605,29.839605,29.857172
7_11,8,50.882024,50.897033,29.60884,29.61509
7_30,8,50.882044,50.891037,29.980922,29.995201
8_23,8,50.900031,50.915018,29.84282,29.852412
9_17,8,50.917952,50.935984,29.719142,29.738177
9_27,8,50.917716,50.935984,29.923806,29.938092
9_28,8,50.918015,50.93609,29.942845,29.95759
9_5,8,50.917997,50.935984,29.481144,29.49577
10_29,7,50.937427,50.953322,29.965239,29.976163
11_24,7,50.96238,50.971973,29.86654,29.87621
12_30,7,50.981817,50.99025,29.98093,29.995186
13_16,7,50.998937,51.016936,29.700103,29.709618
13_5,7,50.998937,51.01702,29.481023,29.495424
14_15,7,51.019934,51.03491,29.681059,29.695343
14_32,7,51.019934,51.03491,30.019096,30.03733
14_33,7,51.01951,51.034922,30.04811,30.05788
14_5,7,51.019934,51.03491,29.481144,29.495439
14_7,7,51.019934,51.034922,29.519238,29.538276
16_29,7,51.063212,51.07728,29.966181,29.97631
16_41,7,51.05839,51.070892,30.19947,30.209384
17_33,7,51.079876,51.09248,30.042797,30.05345
17_48,7,51.08004,51.08309,30.34274,30.35716
18_18,7,51.097862,51.115849,29.74291,29.757219
18_25,7,51.097776,51.115849,29.88094,29.895253
18_30,7,51.097862,51.116323,29.97977,29.995139
19_22,7,51.121852,51.134441,29.819094,29.838134
3_12,7,50.80111,50.816099,29.62341,29.638228
3_9,7,50.801085,50.81679,29.566716,29.577075
4_21,7,50.819096,50.83717,29.79986,29.80969
4_27,7,50.819096,50.836734,29.923752,29.938092
5_28,7,50.84004,50.85513,29.943,29.9565
6_24,7,50.864274,50.87605,29.861932,29.87145
6_8,7,50.86114,50.87605,29.543035,29.55719
8_13,7,50.900011,50.915018,29.642988,29.657267
8_14,7,50.900031,50.912021,29.662026,29.676306
8_27,7,50.900031,50.91552,29.9224,29.93895
9_22,7,50.91771,50.935984,29.82284,29.83874
0_12,6,50.738132,50.756119,29.62394,29.63822
0_15,6,50.738132,50.756119,29.681059,29.695343
0_17,6,50.737528,50.756146,29.723898,29.738398
10_10,6,50.944993,50.953985,29.581102,29.595391
10_27,6,50.953443,50.956985,29.923806,29.93291
10_3,6,50.944993,50.95397,29.447843,29.457362
10_30,6,50.944977,50.954057,29.979825,29.99521
10_4,6,50.944993,50.956985,29.462121,29.4764
10_9,6,50.944993,50.953985,29.562074,29.576353
11_18,6,50.959983,50.971973,29.74787,29.757219
11_28,6,50.96327,50.972159,29.94125,29.951846
13_10,6,50.998937,51.016923,29.581102,29.595381
13_2,6,50.998937,51.016936,29.423092,29.438323
13_25,6,50.998937,51.016923,29.880973,29.896551
13_30,6,50.998937,51.016923,29.979913,29.995365
13_37,6,50.998937,51.016936,30.123711,30.137991
14_27,6,51.025916,51.034922,29.919047,29.938085
15_17,6,51.044,51.05604,29.723898,29.73811
15_18,6,51.043903,51.055368,29.742263,29.757219
15_38,6,51.044643,51.052896,30.142394,30.152286
16_27,6,51.061899,51.076887,29.919047,29.938092
16_33,6,51.061899,51.070883,30.039138,30.052328
16_45,6,51.061889,51.0759,30.280802,30.29536
16_51,6,51.068182,51.076887,30.39965,30.40453
18_15,6,51.097862,51.115856,29.681059,29.695343
18_20,6,51.097862,51.115849,29.781016,29.795296
18_22,6,51.097872,51.115856,29.823854,29.838134
18_29,6,51.097872,51.115849,29.96643,29.97644
19_23,6,51.11882,51.133842,29.852412,29.857172
19_26,6,51.125417,51.132683,29.909355,29.918982
20_24,6,51.13967,51.151183,29.861932,29.87145
3_31,6,50.80111,50.810078,29.999961,30.00949
3_6,6,50.79809,50.81015,29.50041,29.5099
4_12,6,50.819008,50.837082,29.621102,29.63822
4_15,6,50.819096,50.837058,29.681059,29.697905
4_25,6,50.818581,50.837082,29.880973,29.895253
4_30,6,50.819071,50.837082,29.98093,29.99521
4_32,6,50.819096,50.837085,30.023759,30.038049
5_7,6,50.84024,50.855067,29.523996,29.538276
6_22,6,50.86406,50.87605,29.823854,29.838133
6_33,6,50.858064,50.873052,30.05197,30.057076
7_17,6,50.882024,50.891037,29.719142,29.738177
8_29,6,50.900031,50.915018,29.961884,29.96711
9_10,6,50.918015,50.935984,29.581102,29.595391
9_15,6,50.918015,50.936559,29.680514,29.695343
9_16,6,50.918015,50.936001,29.704863,29.714382
9_20,6,50.918015,50.935984,29.780267,29.796066
9_24,6,50.918367,50.935984,29.862585,29.878773
9_29,6,50.918015,50.932952,29.96157,29.967218
9_30,6,50.917997,50.936169,29.980922,29.997449
9_35,6,50.917868,50.935984,30.080875,30.096147
9_9,6,50.918015,50.936001,29.566822,29.576353
0_25,5,50.73917,50.756119,29.880973,29.895253
0_27,5,50.738132,50.756146,29.923806,29.938092
0_32,5,50.739931,50.756146,30.023759,30.03899
10_15,5,50.944993,50.95401,29.681,29.695343
11_25,5,50.959983,50.971957,29.88077,29.895249
12_26,5,50.980965,50.992955,29.909528,29.914288
13_17,5,50.998937,51.016923,29.722611,29.738177
13_22,5,50.998937,51.016923,29.82278,29.838134
13_33,5,50.998937,51.01712,30.042797,30.052328
13_35,5,50.998734,51.016923,30.080888,30.096042
14_23,5,51.019934,51.034922,29.839839,29.857172
14_31,5,51.01733,51.03491,30.00948,30.018999
14_34,5,51.017645,51.0337,30.06114,30.0674
14_35,5,51.018467,51.036262,30.080156,30.095658
14_6,5,51.01756,51.03491,29.509704,29.514478
